#frmMstItem																																		
																																		
																																		
#ITEMID	ITEMCODE	ITEMNAME	DESCRIPTION	UOM	UOM	CONVFACTOR	REOL	REOQ	MIN_QTY	MAX_QTY	ITEMTYPE	ITEMSTDRATE	BUYINGRATE	ITEMGROUPID	ITEMSUBGROUPID	INACTIVE	DATEADDED	DATECHANGED	ADDEDBY	CHANGEDBY	IMAGENAME	TAXPER	REFRATE	TAX	ITEMMRP	SELLDISC	ITEM_PACKING	SUBHEADING	GROUPCODE	SUBGROUPCODE	TAXTYPE	BARCODE	SUPID	BRAND
4387	5244	TRACK UPEER EDGE JR	TRACK UPEER EDGE JR	NOS	NOS	1	0	0	0	0	F	825	480	GARMENTS	NA	N	14-Dec-13	14-Dec-13	ADMIN			5.5	0	5.5	825	0					I		0	
4386	5243	TRACK UPEER EDGE	TRACK UPEER EDGE	NOS	NOS	1	0	0	0	0	F	875	550	GARMENTS	NA	N	14-Dec-13	14-Dec-13	ADMIN			5.5	0	5.5	875	0					I		0	edge
4385	5242	T PANT EDGE	T PANT EDGE	NOS	NOS	1	0	0	0	0	F	525	325	GARMENTS	NA	N	14-Dec-13	14-Dec-13	ADMIN			5.5	0	5.5	525	10					I		0	edge
4384	5241	T SHIRTS EDGE	T SHIRTS EDGE	NOS	NOS	1	0	0	0	0	F	450	235	GARMENTS	NA	N	14-Dec-13	14-Dec-13	ADMIN			5.5	0	5.5	450	10					I		0	edge
4383	5240	SHORTS EDGE	SHORTS EDGE	NOS	NOS	1	0	0	0	0	F	375	185	GARMENTS	NA	N	14-Dec-13	14-Dec-13	ADMIN			5.5	0	5.5	375	10					I		0	edge
4382	5239	HOOPS KAM	HOOPS KAM	NOS	NOS	1	0	0	0	0	F	600	300	OTHERS	GOODS	N	11-Dec-13	11-Dec-13	ADMIN			2	0	5.5	600	10					I		21	Kamachi
4381	5238	T SUIT VTX	T SUIT VTX	NOS	NOS	1	0	0	0	0	F	1755	875	GARMENTS	HEAD GARMENTS	N	08-Dec-13	08-Dec-13	ADMIN			2	0	5.5	1755	10					I		7	Vector x
4380	5237	T SHIRT VTX	T SHIRT VTX	NOS	NOS	1	0	0	0	0	F	540	270	GARMENTS	HEAD GARMENTS	N	08-Dec-13	08-Dec-13	ADMIN			2	0	5.5	540	10					I		7	Vector x
4379	5236	SR ASH VIPER XT 650	SR ASH VIPER XT 650	NOS	NOS	1	0	0	0	0	F	7600	3800	SHUTTLE RACKET	ASHAWAY SR	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	7600	30					I		0	
4378	5235	SR ASH N LASER 8000	SR ASH N LASER 8000	NOS	NOS	1	0	0	0	0	F	6600	3300	SHUTTLE RACKET	ASHAWAY SR	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	6600	35					I		0	
4377	5234	SR ASH VTC 80	SR ASH VTC 80	NOS	NOS	1	0	0	0	0	F	6600	3300	SHUTTLE RACKET	ASHAWAY SR	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	6600	35					I		0	
4376	5233	SR ASH ARC 75	SR ASH ARC stricker 75	NOS	NOS	1	0	0	0	0	F	7200	3600	SHUTTLE RACKET	ASHAWAY	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	7200	30					I		0	
4375	5232	SR ASH ARC 11	SR ASH ARC stricker 11	NOS	NOS	1	0	0	0	0	F	6800	3400	SHUTTLE RACKET	ASHAWAY	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	6800	30					I		0	
4374	5231	SR ASH PAL XT 900	SR ASH PAL XT 900	NOS	NOS	1	0	0	0	0	F	13000	6500	SHUTTLE RACKET	ASHAWAY	N	07-Dec-13	07-Dec-13	ADMIN			0	0	5.5	13000	30					I		0	
